date,state,fips,case,death,state_iso_a2,longitude,latitude,source,iso_a3
2020-02-12,Massachusetts,25,1,0,MA,-71.382437,42.407211,nyt,USA
2020-02-12,Texas,48,1,0,TX,-99.901813,31.968598999999998,nyt,USA
2020-02-12,Washington,53,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-02-12,Wisconsin,55,1,0,WI,-88.787868,43.784440000000004,nyt,USA
2020-02-13,Arizona,4,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-02-13,California,6,7,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-13,Illinois,17,2,0,IL,-89.398528,40.633125,nyt,USA
2020-02-13,Massachusetts,25,1,0,MA,-71.382437,42.407211,nyt,USA
2020-02-13,Texas,48,2,0,TX,-99.901813,31.968598999999998,nyt,USA
2020-02-13,Washington,53,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-02-13,Wisconsin,55,1,0,WI,-88.787868,43.784440000000004,nyt,USA
2020-02-14,Arizona,4,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-02-14,California,6,7,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-14,Illinois,17,2,0,IL,-89.398528,40.633125,nyt,USA
2020-02-14,Massachusetts,25,1,0,MA,-71.382437,42.407211,nyt,USA
2020-02-14,Texas,48,2,0,TX,-99.901813,31.968598999999998,nyt,USA
2020-02-14,Washington,53,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-02-14,Wisconsin,55,1,0,WI,-88.787868,43.784440000000004,nyt,USA
2020-02-15,Arizona,4,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-02-15,California,6,7,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-15,Illinois,17,2,0,IL,-89.398528,40.633125,nyt,USA
2020-02-15,Massachusetts,25,1,0,MA,-71.382437,42.407211,nyt,USA
2020-02-15,Texas,48,2,0,TX,-99.901813,31.968598999999998,nyt,USA
2020-02-15,Washington,53,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-02-15,Wisconsin,55,1,0,WI,-88.787868,43.784440000000004,nyt,USA
2020-02-16,Arizona,4,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-02-16,California,6,7,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-16,Illinois,17,2,0,IL,-89.398528,40.633125,nyt,USA
2020-02-16,Massachusetts,25,1,0,MA,-71.382437,42.407211,nyt,USA
2020-02-16,Texas,48,2,0,TX,-99.901813,31.968598999999998,nyt,USA
2020-02-16,Washington,53,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-02-16,Wisconsin,55,1,0,WI,-88.787868,43.784440000000004,nyt,USA
2020-02-17,Arizona,4,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-02-17,California,6,7,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-17,Illinois,17,2,0,IL,-89.398528,40.633125,nyt,USA
2020-02-17,Massachusetts,25,1,0,MA,-71.382437,42.407211,nyt,USA
2020-02-17,Nebraska,31,10,0,NE,-99.901813,41.492537,nyt,USA
2020-02-17,Texas,48,2,0,TX,-99.901813,31.968598999999998,nyt,USA
2020-02-17,Washington,53,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-02-17,Wisconsin,55,1,0,WI,-88.787868,43.784440000000004,nyt,USA
2020-02-18,Arizona,4,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-02-18,California,6,7,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-18,Illinois,17,2,0,IL,-89.398528,40.633125,nyt,USA
2020-02-18,Massachusetts,25,1,0,MA,-71.382437,42.407211,nyt,USA
2020-02-18,Nebraska,31,10,0,NE,-99.901813,41.492537,nyt,USA
2020-02-18,Texas,48,2,0,TX,-99.901813,31.968598999999998,nyt,USA
2020-02-18,Washington,53,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-02-18,Wisconsin,55,1,0,WI,-88.787868,43.784440000000004,nyt,USA
2020-02-19,Arizona,4,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-02-19,California,6,7,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-19,Illinois,17,2,0,IL,-89.398528,40.633125,nyt,USA
2020-02-19,Massachusetts,25,1,0,MA,-71.382437,42.407211,nyt,USA
2020-02-19,Nebraska,31,10,0,NE,-99.901813,41.492537,nyt,USA
